1/X15  0C33E
PWROFF 00526
pWTKY  0001C
pZERPG 000F7
QUOEXe 02E8B
QUOTCK 0623D
R1REV  00785
R2REV  0AA83
R3=D10 03526
R3REV  153AB
R4REV  1DBA8
RAMEND 2F5B2
RAMROM 0A5F7
RANGE  1B07C
RAWBFR 2F580
RCCD1  0D3F5
RCCD2  0D41C
RCL*   0E983
RCLALL 1AFBF
RCLW1  0E981
RCLW2  0E9BE
RCLW3  0E9C4
RCSCR  0E954
RCURON 14C80
RCVOFS 1C050
RDATTY 17CC6
RDBAS  173FF
RDBYTA 13A2F
RDCHD+ 076EE
RDCHDR 076F0
RDHDR1 076FD
RDINFO 0846B
RDLNAS 13A1F
RDST01 0226C
RDTEXT 17489
READ#  044FF
READIN 0F484
READIT 06649
READNB 17518
READP5 0323B
READRG 06805
READSU 0663D
RECADR 0F4B7
RECALL 0F281
REDC00 02252
REDCHR 02262
RED-LF 0224F
REDUCE 15977
RELJMP 05047
RENSUB 1A753
REPROM 18A1E
RESCAN 04A4C
RESERV 2F986
ResetC 00008
RESPTR 03172
RESREG 2F7C2
REST*  03035
RESTOR 03E5C
RESTRT 02FF8
REV$   1B38E
REVPOP 0BD31
REWIND 11365
RFAD-- 0A652
RFAD++ 0A6FB
RFAD-I 0A659
RFAD+I 0A702
RFNBFR 2F57B
RFUPD+ 0A66E
RJUST  12AE2
RND12+ 0C9D5
RND-12 1B01F
RNDAHX 136CB
RNDNRM 0CAB1
RNSEED 2F6FE
ROMCHK 10FDE
ROMCID 00BFE
ROMCK5 10FE4
ROMFND 1102F
ROMTYP 040D2
ROWDVR 2E350
RPLLIN 013F7
RPLSBH 1799B
RPTKY  152BA
R<RST2 014DB
R<RSTK 014DD
RST2<R 014A6
RSTD0  06832
RSTD1  1C596
RSTKBF 2F820
RSTKBp 2F81F
RSTK<R 014A8
RSTST  0F5C5
RTNX10 08FF2
RUNRT1 074E7
RUNRTN 074EA
SALLOC 0153B
sARITH 00007
SAVD0  1C587
SAVD1  1C578
SAVEIT 03DB6
SAVESB 0D66E
SAVEXM 0D663
SAVGSB 0D64E
SavLvl 00005
SAVSTK 2F59E
SB15S  0E19A
sBYEx  00000
SCAN   04C40
sCARD  00002
sCARDC 00008
sCHAIN 0000B
SCNRT  022B9
sCntg  00002
sCONT  0000A
sCONTK 00009
SCOPCK 0915B
sC/P   00001
sCplxP 00007
SCREX0 2F941
SCREX1 2F951
SCREX2 2F961
SCREX3 2F971
SCRLLR 0212E
SCROLT 2F946
SCRPTR 2F966
SCRST0 2F901
SCRTCH 2F901
sCURBT 00003
sCURUD 00004
sCURUP 00002
sDEST  00003
SE1-10 04468
SECHMS 13252
SEEKA  04232
SEEKB  04239
SEEKRD 062D8
SEND20 17DFA
SENDEL 17DC1
SENDI+ 06989
SENDIT 0698F
SENDIT 17DE3
SENDWD 17E15
sENDx  00001
sEOF   00007
sERROR 00000
SETALM 1290D
SETALR 12917
SetAVM 1B9FA
SETFMT 0F01F
SETLP  03B7D
SETSB  0D641
SETTMO 13158
SETUP  03D33
sEXTDV 00000
sEXTGS 00005
SFLAG? 1364C
SFLAGC 13601
SFLAGS 135FA
SFLAGT 13608
sFOUND 0000A
sGOSUB 00003
SHF10  0C486
SHFLAC 0DB46
SHFRAC 0DB51
SHFRBD 0DB5F
SHRT   0F96C
SHUTDN 005E2
SIGCHK 0BD98
SIGTST 0E636
SIN12  0D716
SIN15  0D71A
sINFRD 0000A
sInit  00003
sINX   00005
sI/OBF 0000A
sIRAM  00002
sIX    00007
sKEYS  00005
SKIPDC 057F6
SKP-LF 02248
SLEEP  006C2
sMAINc 00005
sMULT  00008
SNAPBF 2F7F0
SNAPR* 01578
SNAPRS 01571
SNAPSV 015A7
SNDWD+ 17E1F
sNEGRD 0000B
sNoChn 00002
sONERR 00004
sONTMR 00006
SPACE  0AD9D
sPCRD  00008
SPLITA 0C6BF
SPLITC 0C940
SPLTAC 0C934
SPLTAX 0E62B
sPRGCF 0000B
SQR15  0C534
SQR17  0C553
SQR70  0C5C3
SQRSAV 0D629
S-R0-0 2F871
S-R0-1 2F876
S-R0-2 2F87B
S-R0-3 2F880
S-R1-0 2F881
S-R1-1 2F886
S-R1-2 2F88B
S-R1-3 2F890
sRAD   00009
sRDX   0000B
sREADI 00004
sRENAM 00006
sRENUM 00008
sRESTR 0000A
sRETRN 00000
sRFILE 00008
SRLEAS 015EC
sRUNBn 00004
sRUNDC 00007
sSIGN  00009
sSpecl 00006
sSST   00002
sSSTdc 00001
sSTAT  00006
sSTOP  00005
STAB1  0D3D9
STAB2  0D400
START  007E8
START+ 007EE
START- 007F1
STATAR 2F7AD
STATRS 172F3
STATSV 1732F
STCD2  0D427
STKCHR 18504
STKCMD 155ED
STKVCT 1470C
STMBCL 090E7
STMBUF 090DF
STMTD0 2F891
STMTD1 2F896
STMTR0 2F871
STMTR1 2F881
STORE  0F5F8
STR$00 1815C
STRALL 1AF5D
STRASN 0F6B3
STREQL 1B1EF
STRGCK 036BA
STRHDR 0F09A
STRHED 14C2E
STRNGP 0379D
STR$SB 18149
STRTST 1B1C7
STSAVE 2F6BE
STSCR  0E92C
STUFF  1B0B2
SUBONE 0C327
sUNDEF 00001
SVINF+ 08457
SVINFO 0845A
SVTRC  0FA35
SWPBYT 17A24
sXCPT  00004
sXQT   00000
sXWORD 00009
SYNTXe 02E2B
SYSEN  2F58A
SYSFLG 2F6D9
t^     00080
t-     00082
t*     00083
t/     00084
t%     00085
t+     00087
t&     00089
t@     000F4
t!     000FC
tABS   000A2
tACOS  0009A
tADD   000D5
tADIG0 00060
tADIG1 00061
tADIG2 00062
tADIG3 00063
tADIG4 00064
tADIG5 00065
tADIG6 00066
tADIG7 00067
tADIG8 00068
tADIG9 00069
tALL   000F8
TAN12  0D72F
TAN15  0D733
tAND   0008B
tANGLE 601B3
tARRAY 0007D
tASIN  00099
TASTK  2F599
tATAN  0009B
tAUTO  000EE
tBASE  000E9
tBEEP  000E8
tBIG   00010
TBLJM2 0243D
TBLJMC 02426
TBLJMP 0242A
TBMSG$ 099AB
tCALL  000F9
tCARD  000D0
tCAT   000EC
tCEIL  00072
tCFLAG 000FA
tCHR$  000A4
tCLOCK 501EF
tCMPLX 0007A
tCOLON 000E2
tCOMMA 000F1
tCOPY  000B5
tCOS   00097
tCVAL  000E1
tDATA  000C6
tDATE  00077
tDATE$ 00078
tDEF   000B9
tDEG   0006F
tDEGRE 000D3
tDELAY 000D6
tDELET 000B7
tDIM   000CC
tDISP  000C5
tDIV   00086
tDMYAR 0007E
tDSTRY 000BE
tDVZ   000B1
tEDIT  000B8
tELSE  000F5
tEND   000DA
tENDDF 000BA
tENDSB 000C2
tENTER 4FFEF
tEOL   000F0
tEPS   00071
TERCHR 2F97D
tERRL  00075
tERRN  00076
tERROR 000E3
tEXOR  0008C
tEXP   00094
tEXTIF 000F4
tEXTND 601EF
tFACT  000A8
tFETCH 000C8
tFFN   000B4
TFHDLR 1702F
tFLOW  901EF
tFLT10 00014
tFLT1  0001D
tFLT11 00013
tFLT12 00012
tFLT2  0001C
tFLT3  0001B
tFLT4  0001A
tFLT5  00019
tFLT6  00018
tFLT7  00017
tFLT8  00016
tFLT9  00015
tFN    0007C
tFOR   000C3
TFORN  2F59E
tFP    0006B
tGOSUB 000DC
tGOTO  000DD
TGSBS  2F5A3
tIF    000DF
TIMAF  2F787
tIMAGE 000FF
TIMER1 2E3F8
TIMER2 2E2F8
TIMER3 2E1F8
TIMLAF 2F77B
TIMLST 2F76F
TIMOFS 2F763
tIN    000F2
tINF   00070
tINPUT 000C9
tINT   0009C
tINT10 00004
tINT11 00003
tINT12 00002
tINT2  0000C
tINT3  0000B
tINT4  0000A
tINT5  00009
tINT6  00008
tINT7  00007
tINT8  00006
tINT9  00005
tINTEG 000CA
tINTO  E01EF
tINTR  015FF
tINX   000B2
tIP    0006A
tIS    000E7
tISUB$ 000A7
tIVL   000AE
tKEY$  00073
tKEY   000E5
tKEYS  000CF
TKSCN+ 08A6B
TKSCN7 08A99
tLBLRF 0000E
tLBLST 000F6
tLEN   000A9
tLET   000C0
tLINE# 0000F
tLINPT 000BF
tLIST  000BB
tLITRL 000C4
tLN    00091
tLOG   00090
tLOG10 00093
tLPRP  000AA
tLR    000B6
tMAIN  000D2
tMATH  601EF
tMAX   000AD
tMAXRL 0006C
tMEAN  0009D
tMIN   000AC
tMOD   00074
TMRAD1 2F697
TMRAD2 2F69C
TMRAD3 2F6A1
TMRIN1 2F6A6
TMRIN2 2F6AE
TMRIN3 2F6B6
tNAME  000BD
tNEAR  C01EF
tNEG   D01EF
tNEXT  000C4
tNOT   00081
tNUM   000A3
TODT   13229
tOFF   000E1
tON    000E0
TONE   0EBEB
tOPT'N 000ED
tOR    0008D
tOVF   000AF
tPAUSE 000D7
tPCRD  E01EF
tPI    00079
tPORT  000D1
tPOS   201B3
tPREDV 0009F
tPRINT 000CD
tPRMEN 000F8
tPRMST 000F3
tPURGE 000EB
TRACDC 052FC
Trace  0000F
TRACEM 2F7B0
tRAD   0006E
TRC90  0DA11
tRDIAN 000D4
tREAD  000C7
tREAL  000BC
tRELOP 0008A
tREM   000E6
tRES   0007F
tRESTR 000DE
tRETRN 000DB
tRFILE 000DE
TRFMBF 2F8C5
TRFROM 0FE59
TRKDON 1CFAC
tRMD   0006D
TRMNTR 0F1DD
tRND   000A0
tROUND C01EF
TRPREG 2F6F9
TRSFMu 16B84
TRTO+  0FE7B
tRUN   000FE
tSDEV  0009E
tSEMIC 000F2
tSFLAG 000FB
tSGN   000A1
tSHORT 000CB
tSIN   00096
tSMALL 00011
tSQR   00092
TST12A 0D476
TST15  0D47A
tSTAT  000CE
TSTAT  041FE
TSTATA 04205
TstEnd 1C0FF
tSTEP  000F6
tSTOP  000D9
tSTR$  000A6
tSUB   000C1
tSVAR  0002D
tTAB   000F7
tTAN   00098
tTHEN  000F4
tTIME  0007B
tTIME$ 00095
tTIMER 000E4
tTO    000F3
tTRACE 000EA
tUNF   000B0
tUPRC$ 000AB
tUSER  000E2
tUSING 000FD
tVAL   000A5
tVARS  B01EF
tWAIT  000D8
TWO*   0DB38
tXFN   000B3
tXWORD 000EF
tZ     0005A
tZERO  C01EF
uALit  000F7
uCPLXC 000EE
uDELIM 000F4
uHKB^  000F6
uIMbck 000DC
uIMend 000F0
uIMsta 000DE
uIMXCH 000D4
uJMP{} 000D9
uJMPdl 000DB
uJMPst 000DA
uLOOPB 000D2
uLOOPP 000EF
uLOOPS 000D3
ULYL   00C55
uMODES 0BDB1
uMULT  000D1
UNFNIB 2F6FA
UNP    00001
uNUMEn 000FC
uNUMEs 000FD
uNUMFn 000FA
uNUMFs 000FB
uNUMNn 000F8
uNUMNs 000F9
uOPNM- 000DF
uOPNNM 000D8
uOPNWM 000E0
UPCPOS 13C67
UPD1EN 2F599
UPD1ST 2F55D
UPD2EN 2F6A6
UPD2ST 2F674
UPDANN 13571
UPDPCC 07B65
uRES12 0C994
uRESD1 0E1EE
uRESNX 0C9BD
uRESTP 000F1
uRESXT 0C9C1
uRND>P 0C9CF
USG*10 1B508
USGch- 1BC0B
USGch+ 1BC15
USGrst 1BC63
USING  1B446
USINGp 03628
USloop 1C14B
USnm05 1BD12
USst03 1BBCE
USst05 1BBD4
uSTRPT 000D0
uTEST  0D435
UTLEND 007CC
VAL00  1AD8F
VALCHK 1AE61
ValSub 0000A
VARDC  0537C
VARNB- 0E28D
VARNBR 0E289
VARP   0350E
VECTOR 2F43C
VIEWD1 15147
VRIABL 04BC4
WFTMDT 085DD
WINDLN 2F473
WINDST 2F471
WIPOUT 1B0AF
WRBYTC 13A73
WRDSC+ 02C26
WRDSCN 02C2A
WRITE# 0453F
WRITIT 0691A
WRITNB 1752B
WRTFIB 11CEE
WRTNUM 139C4
WRTSTR 1396F
WSTRFX 138B5
xANGLE 00006
xCLOCK 00015
XDelay 00009
xEXTND 00026
xFLOW  00029
xINTO  0002E
xMATH  00036
XMTADR 08133
xNEAR  0003C
xNEG   0003D
xPCRD  0003E
xPOS   00042
XROM01 00001
xROUND 0004C
xVARS  0005B
XXHEAD 1A44E
XYEX   0C697
xZERO  0001C
YMDDAY 13304
YMDH01 130E5
YMDHMS 130DB
YTML   00C9B
YX2-12 0D274
YX2-15 0D27A
ZERBUF 18B20
